hand,p2_equity,p2_win,p2_tie,p2_loss,p3_equity,p3_win,p3_tie,p3_loss,p4_equity,p4_win,p4_tie,p4_loss,p5_equity,p5_win,p5_tie,p5_loss,p6_equity,p6_win,p6_tie,p6_loss
A9o,0.6103,0.5976,0.0254,0.377,0.4150499999999995,0.4007,0.0305,0.5688,0.3111416666666666,0.2965,0.0317,0.6718,0.24595666666666638,0.2306,0.0334,0.736,0.20636250000000014,0.19255,0.03015,0.7773
A5s,0.609825,0.5908,0.03805,0.37115,0.41371666666666596,0.39325,0.0428,0.56395,0.3153041666666666,0.2967,0.03915,0.66415,0.26661499999999944,0.249,0.0382,0.7128,0.22155416666666675,0.20435,0.03715,0.7585
55,0.607825,0.60115,0.01335,0.3855,0.396916666666666,0.39265,0.01105,0.5963,0.2885875,0.28525,0.00855,0.7062,0.22559833333333298,0.22265,0.0079,0.76945,0.18434999999999993,0.1813,0.00775,0.81095
KJo,0.606575,0.59585,0.02145,0.3827,0.42487499999999917,0.41255,0.0269,0.56055,0.33440833333333325,0.32255,0.02595,0.6515,0.27264749999999965,0.2605,0.0268,0.7127,0.23368333333333327,0.2217,0.02665,0.75165
A8o,0.603925,0.58975,0.02835,0.3819,0.4040083333333327,0.38725,0.03525,0.5775,0.2965499999999998,0.28005,0.0353,0.68465,0.2370199999999998,0.2198,0.0371,0.7431,0.19651250000000015,0.18135,0.0331,0.78555
QJs,0.603275,0.59175,0.02305,0.3852,0.4374166666666662,0.4261,0.02515,0.54875,0.3586124999999999,0.34715,0.0253,0.62755,0.3020783333333329,0.29075,0.02575,0.6835,0.2645333333333334,0.25465,0.02255,0.7228
QTs,0.6023,0.58945,0.0257,0.38485,0.42886666666666623,0.41615,0.0278,0.55605,0.34611666666666663,0.334,0.0267,0.6393,0.2941149999999995,0.2826,0.02615,0.69125,0.2531666666666666,0.24105,0.027,0.73195
K9s,0.601625,0.58765,0.02795,0.3844,0.4217666666666662,0.40835,0.0288,0.56285,0.3279583333333332,0.31405,0.0303,0.65565,0.27241833333333293,0.25955,0.0288,0.71165,0.23227916666666665,0.21965,0.02815,0.7522
KTo,0.601025,0.5886,0.02485,0.38655,0.41622499999999935,0.40295,0.0288,0.56825,0.32161666666666666,0.30855,0.0287,0.66275,0.258908333333333,0.24535,0.02975,0.7249,0.2231416666666668,0.2101,0.02855,0.76135
A4s,0.598475,0.579,0.03895,0.38205,0.4056583333333327,0.38605,0.04095,0.573,0.30709999999999993,0.28845,0.0393,0.67225,0.2597666666666662,0.24215,0.0381,0.71975,0.21791666666666673,0.20155,0.03535,0.7631
A7o,0.5925,0.57645,0.0321,0.39145,0.39653333333333274,0.37725,0.0403,0.58245,0.28806249999999983,0.27085,0.0368,0.69235,0.2245283333333332,0.20655,0.0386,0.75485,0.18445416666666686,0.1684,0.035,0.7966
A3s,0.591525,0.5724,0.03825,0.38935,0.39976666666666605,0.3804,0.0404,0.5792,0.30054999999999993,0.28255,0.038,0.67945,0.25407166666666625,0.23645,0.03805,0.7255,0.21310833333333332,0.197,0.0347,0.7683
K8s,0.5854,0.57005,0.0307,0.39925,0.40211666666666585,0.3872,0.03185,0.58095,0.3047708333333332,0.2902,0.0316,0.6782,0.2556824999999996,0.24145,0.0318,0.72675,0.21628333333333344,0.20255,0.03025,0.7672
